Title,Price,Description,Condition,Type,Material,URL
Car parking shade | sheds for sale | Fiber Shades | Tensile Shades,550,"Description WELCOME ; ""SUPREME TENSILE ""


Available for delivery and installation across Lahore and surrounding areas. Transform your space with our reliable and stylish fiberglass and tensile sheds

>Car parking Shades

>Swimming Pool Shades

>Fiber Shades

>Tensile Shades

>Car Shades

we deal all king of sheds ,tensile sheds , fiber glass sheds 

*Quality will be no compromised roving last & complete work out excellent processing multi resin completely fibre glass manufacture custom made. 

For more details click on my profile
call / sms / inbox and whats app
Contact:
(0\3\2\6\8\6\8\6\6\2\2)

Binyaamin.",New,,,https://www.olx.com.pk/item/car-parking-shade-sheds-for-sale-fiber-shades-tensile-shades-iid-1102555783
Customised Neon Sign|Neon Lights|light sign|3d sign board|Acrylic sig,2000,"Description Create Your Unique NEON SIGN. 
 DM for Ordering and Details. 
 Where Handcraft Meets Perfection. 
 Fully Tailored to Your Needs
 Wide Range of colours 
 100% Customer Satisfaction. 
 High-Quality Materials. 
 Simple Installation Process.  
Order Now via DM. Delivery Available Throughout Pakistan (Message) Neon Lights ( sa Kings neon) on WhatsApp.",New,,,https://www.olx.com.pk/item/customised-neon-signneon-lightslight-sign3d-sign-boardacrylic-sig-iid-1102470304
Sofa 6 seater for sale,55000,Description 1 year used feels like brand new molty foam installed inside,Used,Sofa Set,,https://www.olx.com.pk/item/sofa-6-seater-for-sale-iid-1105247592
bed set / bed room set for sale /wooden bed set,250,"Description Includes

King size bed
2 side tables
1 crockery unit 
1 corner
1 4 door cupboard
1 dressing table

You will need a carpenter to deassemble it and load it

Dc by buyer",Used,Bed Set,Wooden,https://www.olx.com.pk/item/bed-set-bed-room-set-for-sale-wooden-bed-set-iid-1104796650
Recliner - Electric / Manual Sofa Recliners - 3 Seater Recliners Sale,68000,"Description WildStone Presents : Recliner All Series. 

All New Design Available for More Information & Design 
Contact Now. : 0 3 1 0 / 4 7 6 5 / 6 2 4 . 

 --------------------------------------------------------------

1 : Signature Series Recliner. Model : 

310: Manual  ( Azadi Sale ). 

 --------------------------------------------------------------

2 :Classic series Recliner. Model :

350 : Manual Recliner ( Azadi Sale ). 

 --------------------------------------------------------------

3 : Royale Series Recliner : Model: 

320:Manual Recliner ( Azadi Sale ). 

 --------------------------------------------------------------

1 : Cloud Seat Recliner Sofa – Premium Faux Leather Electric Recliner

812 : Basic Electric. ( Azadi Sale ). 

815 : Electric Recliner With Rocker. 
816 : Electric Recliner With AI Voice Controller. 

--------------------------------------------------------------

1 : Eva Recliner Sofa – Premium PU Leather Electric Recliner ( Azadi Sale ). 

--------------------------------------------------------------

1 : G-97 3 Seater Recliner – Premium Faux Leather Recliner. ( Azadi Sale ). 

--------------------------------------------------------------

DELIVERY AVAILABLE

--------------------------------------------------------------

All New Design Available for More Information & Design 

visit : www. wildstone. pk

Contact Now. : 0 3 1 0 / 4 7 6 5 / 6 2 4 .",New,,,https://www.olx.com.pk/item/recliner-electric-manual-sofa-recliners-3-seater-recliners-sale-iid-1104831147
9 seater Luxury sofa set - Modern and comfortable,250,"Description 9 Seater Luxury Sofa Set – Modern & Comfortable

Upgrade your living room with this stylish 9-seater sofa set – perfect for families or those who love entertaining!

 Condition: Excellent / Gently Used 
 Design: Modern & elegant with a luxurious touch
 Comfortable cushions and premium upholstery
 Ideal for home, office, or guest lounge
 Sturdy frame – built to last",Used,Sofa Set,,https://www.olx.com.pk/item/9-seater-luxury-sofa-set-modern-and-comfortable-iid-1104894517
"bed set, double bed, king size bed, polish bed, bed for sale, beds",29999,"Description Jutt furniture shop 
All type of bed sets are available 

Bed  29999
Side's table 10000
dressing 19999

king size bed 
queen size bed 
double bed
single bed 
side tables 
dressing tables
can be made on your demand also 

Contact us 
03/26/44/77/63/4",New,Bed Set,Wooden,https://www.olx.com.pk/item/bed-set-double-bed-king-size-bed-polish-bed-bed-for-sale-beds-iid-1104015386
double mattress/foam/Medicated / SIngle Double Spring bed/Folding matt,2999,"Description We deal in all kind of good quality medicated/foam mattress cumebeds on good rates

We have all sizes mattressess available on very good rate


We deal in 
=/ SIngle mattress
=/ Double mattress
=/ Spring Mattress
=/ Ortho Mattress
=/ Sofa Material
=/ foam sheets
=/ Carpet underlay
=/ Sofa gadi 
=/ Goa pillow
=/ pilo 

shops locations  = AMARPURA CHOWK/CHAH SULTAN/CHAKLALA ROAD RWP/GOLRA ROAD ISB

Contact us : 0/3/3/9/4/1/1/1/1/2/3 whatsapp or call
. . .  . . .",New,Single Bed,Foam,https://www.olx.com.pk/item/double-mattressfoammedicated-single-double-spring-bedfolding-matt-iid-1093275419
Wood Works | Cupboard | Wardrobe | Kitchen Cabinet | Fiber Doors,300,"Description Welcome to Usm furntiure house
Over Services…
 Kitchen Cabinets. 
 Beds / Wardrobes
 Media Walls
Shoes Rack
Dinning Table
Pvc door Fiber door
Venti Solid, Semi Solid & Engineer Doors. 
All Types of Wood & Plywood Works
Prices vary based on customization and will be discussed over a phone call. 
Contact us now for details and quotations. . . 
For Details Call, SMS, Inbox and WhatsApp. 
Contact:   (View phone number)",New,Others,,https://www.olx.com.pk/item/wood-works-cupboard-wardrobe-kitchen-cabinet-fiber-doors-iid-1104253362
Brand New Diamond Supreme Pro King Size,32000,"Description Selling Brand New Diamond Supreme Pro Foam direct from shop. 

Original Price 35,000RS, I want to buy Diamond Supreme Memory thats why giving discount for 3,000RS. 

Final Price 32,000RS, 1 year warranty from date of purchase. 

Size: King (78×72inch)
Thickness: 6inch",New,King Bed,Foam,https://www.olx.com.pk/item/brand-new-diamond-supreme-pro-king-size-iid-1105398796
Gym Flooring | Carpet Tiles | Wooden Flooring | Vinyl Flooring | SPC,55,"Description Welcome to Zainab Interiors, where quality meets elegance! Elevate your space with our exquisite selection of flooring options: vinyl, wooden, and SPC (Stone Plastic Composite). 

Our vinyl flooring combines durability with style, perfect for high-traffic areas. Experience the timeless charm of wooden flooring, adding warmth and sophistication to any room. Looking for something extra resilient? Our SPC flooring offers exceptional durability, ideal for homes and businesses alike. 

Visit Zainab Interiors today and discover the perfect flooring solution for your space!

Call or WhatsApp: (View phone number) 

#ZainabInteriors #FlooringForSale #VinylFlooring #WoodenFlooring #SPCFlooring #QualityInteriors #ElegantDesigns #HomeDecor #InteriorDesign #DurableFlooring #UpgradeYourSpace#VinylFlooring #WoodenFlooring #SPCFlooring #InteriorDesign #HomeRenovation #ZainabInteriors #Flooring #InteriorDesign #ZainabInteriors#HomeImprovement #VinylFlooring#WoodenFlooring#SPCFlooring#ZainabInteriors!#Vinyl, #Wooden, and #SPCflooring options. #InteriorDesignInspiration#HomeRenovation #FlooringSale #DesignTrends #QualityFlooring #FlooringSolutions""#ZainabInteriors #FlooringSale #VinylFlooring #WoodenFlooring #SPCFlooring #HomeImprovement #InteriorDesign#QualityFlooring #ElegantLiving #UpgradeYourSpace #vinylflooring #vinylsheets#woodenflooring#spcflooring#laminateflooring

we also deal in :
window blinds
Roman blinds
roller blinds
zebra blind
wooden blinds
vertical blind
artificial grass
carpets
vinyl flooring
wooden flooring
wallpapers
curtains
Venetian blinds
chick blind
hospital curtains
false ceiling
fabric shutter blind
wall panels
carpet tiles
Eva flooring
wpc panel
wall picture
PVC sliding doors
Arabic majlis
Sports flooring
Rainbow artificial grass
Chick sliding doors
Spc flooring
Masjid janamaz
French wall
Rubber matt",New,,,https://www.olx.com.pk/item/gym-flooring-carpet-tiles-wooden-flooring-vinyl-flooring-spc-iid-1101541278
Sofa Set //7 seater sofa set With3 Seater Sofa Cum Bed //5 seater Sofa,55000,"Description 7 seater mint condition sofa set. 
(3 seater is sofa cum bed)

interested may contact
Only First come First serve basis. . . 

Contact
https://wa. me/0335 / 2281 / 119",Used,Sofa Set,,https://www.olx.com.pk/item/sofa-set-7-seater-sofa-set-with3-seater-sofa-cum-bed-5-seater-sofa-iid-1105328092
Sofa poshish // Furniture polish // sofa repair// wall poshish,2000,"Description (Hafiz furniture factory )
0322 / 6606 / 617

If you are looking for high-quality SOFA SETS at affordable prices & want more designs then Call/Whatsapp on (0322 / 6606 / 617)
Luxury SOFA Sets graceful and decent. 

** All latest design sofa sets munasib rate pay order par tyar kiyai jatay hain. 
~ 6 seter sofa set
. ~Backless Deewan
~ Centre Table
~Corner sofa/L shaped
~Bedroom Chairs
~ satti
~stools

** purana sofa set ki poshish tabdeel karwain

** Poshish colours can be changed on your demand. 
Soild wood structure. 

** ORDER NOW
Foam 10 years warranty , 15 years structure guarantee, excellent finishing. 
**Proprietor : Farooq azam

Location: Harbunspura diyal house lahore
opening Timings: 9 Am to 9 pm",Used,Sofa Set,,https://www.olx.com.pk/item/sofa-poshish-furniture-polish-sofa-repair-wall-poshish-iid-1103080751
Room Chairs Set For Sale Best Quality Low Price,17000,"Description کیا آپ کو اچھا اور مضبوط فرنیچر چاہئیے ؟
سستا فرنیچرڈاریکٹ فیکٹری سے اُٹھائیں
Best Offer 2025
Sale Sale Sale 
Flower Chair Price 25000
Mora Chair Price 15000
Seati 2 Seater Price 15000
High Back chair Price 25000
نوٹ:دکاندارحضرات اپنے شوروم کے لئےہم سے ہول سیل ریٹ پے مال خریدنے کے لئے رابطہ کریں
ان کے علاوہ اور بھی بہت سے ڈیزائن موجود ہیں  
ایڈریس:ٹھوکر نیاز بیگ لاہور -
Call & Whatsapp 
 کے لیے اس واٹس ایپ پر رابطہ کریں۔
#eidoffer2025 #newroomchair #bestfurniture2025 #roomchairs2025 #roomchairsdesign #flowerchairs #seatisofa
#morachairs
#funriture #newfurniture2025 #olx #olxlahore #olxpakistan #bestoffer2025 @olxpakistan @mehboobiyafurniture",New,Others,,https://www.olx.com.pk/item/room-chairs-set-for-sale-best-quality-low-price-iid-1102278386
Luxury Shesham Study Table & Chairs Top Glass |  Dresser | Dressing,1,"Description Buy This New study desk & office table & Chairs. . price: 145000
Dresser \ wooden Dressing table for sale. .  Price: 35000
no damage. 
In Good Condition. 

Contact For More Info:  0300/8459/815

Desk with two imported chairs. Pure sheesham solid wood desk for two people with drawers. Almost brand new. Hardly used. Amazing modern design with a lot of space for books and storing.",Used,,,https://www.olx.com.pk/item/luxury-shesham-study-table-chairs-top-glass-dresser-dressing-iid-1093223175
Executive Office chair - laptop Revolving chair Gaming chair for sale,7000,"Description ---------------WELCOME TO CHAIR ZONE -------------------

Starting Price    =7000/-
We deal All kind off Chairs
We deal best quality furniture
rates are very cheaps

Visit our profile for more chairs

> Office chair
> Executive chair
> Waiting chair 
> Boss chair
> Gaming chair

We are providing All kind of chai & Chair Repairing

FOR MORE DETAILS : (View phone number)",New,Executive Chairs,,https://www.olx.com.pk/item/executive-office-chair-laptop-revolving-chair-gaming-chair-for-sale-iid-1097092585
Computer Table/Laptop Table/Study Table/Workstation,3399,"Description Length 3ft width 2ft Height 2.5ft Rs3400 (Without bottom shelf)
Length 4ft width 2ft Height 2.5ft Rs6000 (With bottom Shelf)
Length 3ft width 2ft Height 2.5ft Rs4500(With Bottom Shelf)
Different Colors Available
White Frame Extra Charges Rs1000
Material
Metal frame with lamination sheet top sides pvc edge binding 1mm tape 
Delivery Service Available
Whatsapp  (View phone number)",New,Workstations,,https://www.olx.com.pk/item/computer-tablelaptop-tablestudy-tableworkstation-iid-1099858643
Pure plastic chairs/Special Design Chairs / Chairs with Arms,890,"Description We manufacture all types of plastic tables and chairs original price of table 5300, discounted price 4600
-Our products are of good quality
-All types of plastic furniture are available
# sofa set
# tables
# out door chairs
# indoor chairs
# plastic chair & table set
# study chairs
# babies school furniture

Contact for more details :
WHATSAPP No :
 030/243/49/996",New,Others,,https://www.olx.com.pk/item/pure-plastic-chairsspecial-design-chairs-chairs-with-arms-iid-1105153020
quality bed \ wooden \ kingbed \ double bed,35000,"Description Experience the ultimate in comfort and luxury with this elegant king size bed. Generously spacious, it offers ample room for stretching out and relaxing, making it perfect for couples or anyone who values a more expansive sleep surface. Designed with both style and support in mind, the bed features a sturdy frame, premium materials, and a timeless aesthetic that effortlessly enhances any bedroom decor. Whether you're enjoying a peaceful night’s rest or lounging with a book or movie, this king size bed is a statement piece that combines functionality with refined sophistication.",Used,Bed Set,Wooden,https://www.olx.com.pk/item/quality-bed-wooden-kingbed-double-bed-iid-1104391072
Artificial Grass Astroturf/Sports Grass/Grass/ Cricket grass / grass,80,"Description Ha collection offers a huge variety in artificial grass or Astro Turf for sports feilds schools play area fake lawn's balcony homes restaurants and the material is long lasting,easy to maintain where you want feel free to querie Whatsapp or call


Ha collection  is leading name in grass supplier and installer in Pakistan no one can serve like us wholesale prices professional installation with experienced labour. We also operate online for customers to stay home and stay safe our representative will come and provide the samples. feel free to query WhatsApp or call




BEST TURKISH AND CHINA IMPORTED ARTIFICIAL GRASS ONLY AT HA COLLECTION
WATER PROOF UV TREATED
MAINTENANCE FREE
NYLON SOFT PILE LONG LASTING MATERIAL
COMES IN DIFFERENT PILE HEIGHTS
STOCKS AVAILABLE


Nylon Carpet Tiles

Long-lasting and fade-resistant

Great color retention and easy maintenance

Best for: Commercial spaces and educational institutes
FEEL FREE TO CONTACT US TO GET DELIVERY AT YOUR DOORSTEP. 



Now make your muddy backyard lawn green fresh lawn by artificial grass synthetic grass. with saving water and no matinenance
waterproof UV treated best quality imported grass comes with rubber backing differnt varities available. can be applied on anykind of surface as per your needs. ha collection pioneers of artificial grass in pakistan with lowest wholesale rates. 

Ha collection offers
Lowest price in Pakistan Guranted on Artificial Grass on minimum Quantity 2200 sqfts. Imported Grass heavy backing with drainage holes. can be applied anywhere and in any kind of surface no need of hard cemented surface. stocks available anytime. feel free to get services at your doorstep



Contact Us For More Details :
(View phone number) • Lahore
(View phone number) • Karachi
0318956614 -Islamabad",New,,,https://www.olx.com.pk/item/artificial-grass-astroturfsports-grassgrass-cricket-grass-grass-iid-1105119673
Stairs-Iron Work-Cnc Grills-Cnc Work-Laser Cut- Balcony-Grills-Railin,1200,"Description We Deal In All Kinds of CNC Work 
Cnc Gates
Cut work 
Railing 
Grills 
Alhamdulillah customer are satisfied
Contact us : 0/3/1/5/5/8/2/8/8/7//1",New,,,https://www.olx.com.pk/item/stairs-iron-work-cnc-grills-cnc-work-laser-cut-balcony-grills-railin-iid-1104396076
Tensile Shades | Car parking shade | sheds for sale | Fiber Shades,575,"Description WELCOME ; ""SMART TENSILE ""


Available for delivery and installation across Lahore and All Over Pakistan areas. Transform your space with our reliable and stylish fiberglass and tensile sheds

>Car parking Shades

>Swimming Pool Shades

>Fiber Shades

>Tensile Shades

>Car Shades

we deal all king of sheds ,tensile sheds , fiber glass sheds 

*Quality will be no compromised roving last & complete work out excellent processing multi resin completely fibre glass manufacture custom made.",New,,,https://www.olx.com.pk/item/tensile-shades-car-parking-shade-sheds-for-sale-fiber-shades-iid-1105349693
Bed Set / Dressing / Room Bed Set For sale,349,"Description High-quality bed set with dressing table available for sale. Elegant design, durable wood, and perfect for any bedroom setup. The set is well-maintained and ready to use. 

 Bed Set (King/Queen size as per availability)
 Dressing Table with Mirror
 Strong and stylish design
 Affordable price

Perfect for enhancing your room’s look with comfort and style. 
Contact WhatsApp or 
direct calls  (Chat with seller) 
 (Chat with seller)",Used,Bed Set,Wooden,https://www.olx.com.pk/item/bed-set-dressing-room-bed-set-for-sale-iid-1105374230
dining table - dining table with dining chairs - 6 seater dining table,50000,"Description **WELCOME TO TR FURNITURE HOUSE*

All Home Furniture Available
We Deal all Kinds of Wooden Furniture like 

100+ Beautiful Designs Are Available
*Solid & beautiful dining table Available in Reasonable price. 
*We are manufacturing all types of quality Furniture Factory Price. 
*Graceful and decent design. Best Quality and Finishing
*No compromise in quality of product & polish. 

*The color scheme can be changed according to *
your choice *

Customize tables chairs design available in order

*selling all types of furniture. . . . . . . . . . 


*Special discounted in bulk purchasing*

You can contact us call & what's app-- 24/7
Only serious buyers can 
contact us Whatsap No : 0 3 2 2 / 6 7 1 2 / 7 7 5",New,,,https://www.olx.com.pk/item/dining-table-dining-table-with-dining-chairs-6-seater-dining-table-iid-1094158571
Recliner - Electric / Manual Sofa Recliners - Sofa Set - New Recliners,68000,"Description WildStone Presents : Recliner All Series. 

All New Design Available for More Information & Design 
Contact Now. : 0 3 1 0 / 4 7 6 5 / 6 2 4 . 

 --------------------------------------------------------------

1 : Signature Series Recliner. Model : 

310: Manual  ( Azadi Sale ). 

 --------------------------------------------------------------

2 :Classic series Recliner. Model :

350 : Manual Recliner ( Azadi Sale ). 

 --------------------------------------------------------------

3 : Royale Series Recliner : Model: 

320:Manual Recliner ( Azadi Sale ). 

 --------------------------------------------------------------

1 : Cloud Seat Recliner Sofa – Premium Faux Leather Electric Recliner

812 : Basic Electric. ( Azadi Sale ). 

815 : Electric Recliner With Rocker. 
816 : Electric Recliner With AI Voice Controller. 

--------------------------------------------------------------

1 : Eva Recliner Sofa – Premium PU Leather Electric Recliner ( Azadi Sale ). 

--------------------------------------------------------------

1 : G-97 3 Seater Recliner – Premium Faux Leather Recliner. ( Azadi Sale ). 

--------------------------------------------------------------

DELIVERY AVAILABLE

--------------------------------------------------------------

All New Design Available for More Information & Design 

visit : www. wildstone. pk

Contact Now. : 0 3 1 0 / 4 7 6 5 / 6 2 4 .",New,,,https://www.olx.com.pk/item/recliner-electric-manual-sofa-recliners-sofa-set-new-recliners-iid-1101903018
Mesh Office Chair/Workstation Chair/Staff Chair/Low Back Chair/Chair,5800,Description More designs are also available. Please call us for more details.,New,Computer Chairs,,https://www.olx.com.pk/item/mesh-office-chairworkstation-chairstaff-chairlow-back-chairchair-iid-1105243238
Executive Office Setup /CEO Table,65000,"Description Sheesham High Quality Tables
UV TABLES 
ALL OFFICE FURNITURE AVAILABLE",New,Executive Tables,,https://www.olx.com.pk/item/executive-office-setup-ceo-table-iid-1103699549
"STUDY CHAIR, STUDENT CHAIR, TABLET CHAIR, CLASSROOM CHAIR EXAIM CHAIR",2255,"Description Please Whatsapp At Compnay Number 0,3,3,0,6,1,2,1,0,0,0 
Welcome to Citi International Furniture Industries Head Office Gujranwala. 
We Are Manufacturing All Kind Of Montessori Furniture, School Furniture, College Furniture and University Furniture. 
Please Download Price List: https://citifurniture. pk/Price. html
Please Visit Our Website: http://citifurniture. pk/
Please Visit Our Facebook: https://www. facebook. com/citifurniture. pk
Google Maps Location: https://g. page/cifig
Regard:
Mobile: 0,3,2,9,6,1,2,1,0,0,0,
Mobile 0,3,3,0,6,1,2,1,0,0,0,",New,,,https://www.olx.com.pk/item/study-chair-student-chair-tablet-chair-classroom-chair-exaim-chair-iid-1105225645
"Study Table ,Computer Table Laptop Table Office Table Working Table",4500,"Description Usamaniya furniture house 
Looking to upgrade your office or home workspace?
We bring you top-quality office furniture that combines style, comfort, and durability — all at affordable prices!

 Available Products:
 Executive Office Chairs – Comfortable, high back, revolving with wheels
 Staff Chairs – Ergonomic design, sturdy frame, breathable mesh/fabric
 Office Tables – Modern designs with spacious tops and storage options
 Workstations & Study Tables – Compact, practical & space-saving

 Quality That Lasts:

Heavy-duty materials

Powder-coated frames

Water & scratch-resistant laminated surfaces

Designed for long working hours


 Customization & Bulk Orders Available

Sizes, colors, and finishes as per your requirement

Special rates for offices, schools, and bulk buyers

For more Information:
Contact me:
0302  / 780 / 4343
 Visit us or call for more details!
 Delivery available all over Lahore & nearby areas",New,Others,,https://www.olx.com.pk/item/study-table-computer-table-laptop-table-office-table-working-table-iid-1104547907
Bed/wooden bed/Day bed/double bed/bed for sale,110,"Description Bed/wooden bed/Day bed/double bed/bed for sale
brand new in mint condition 
Only uesd for few time
for more details contact here 
    >0/325/996/634/4<",Used,Bed Set,Wooden,https://www.olx.com.pk/item/bedwooden-bedday-beddouble-bedbed-for-sale-iid-1102054519
Imported wpvc wall panel | 3rd wall paper | Luxury Media Wall,90,"Description (View phone number)  Adnan 
 Welcome to Modern interior 
All Interior Services Under One Roof, 
your one-stop-shop for all your interior design needs. We offer a comprehensive range of services and products to transform your space into a stunning sanctuary. 
Our extensive portfolio includes:
Custom interior design solutions
- Supply and installation of:
 - Imported 3D wall papers for a unique visual effect
    - PVC wall moulding for added texture and elegance
    - PVC wall panels for a durable and low-maintenance finish
    - Laminated wooden flooring for a warm and natural look
    - PVC Vinyl flooring for a versatile and water-resistant option
- False ceiling and Jabsum ceiling solutions for a sleek and modern finish
- Glass paper and marble sticker paper for added visual interest

Our team of experts is dedicated to providing top-notch services and products to ensure your interior design project is completed to perfection. Whether you're looking to revamp a single room or an entire property, we've got you covered. 

Contact us today to schedule a consultation and let's get started on creating your dream space!""",New,,,https://www.olx.com.pk/item/imported-wpvc-wall-panel-3rd-wall-paper-luxury-media-wall-iid-1105239561
iron/rod full sofa and bed set,160,"Description Iron sofa and bed set
1. iron double bed
2x side tables
3. dressing table
4.2 seater sofas with 3 seater large sofa 
total 5 seater set
IN GOOD CONDITION",Used,Bed Set,Iron,https://www.olx.com.pk/item/ironrod-full-sofa-and-bed-set-iid-1104220531
The Black Tripod Lamp | Floor Lamp | Metal Lamp | COD Available,5000,Description The Black Tripod Floor Lamp brings elegance and stability to any space. Minimalist design meets bold style. Elevate your home with the Black Tripod Floor Lamp.,,,,https://www.olx.com.pk/item/the-black-tripod-lamp-floor-lamp-metal-lamp-cod-available-iid-1104809588
King size bed  whole seller manufacture,130,"Description Bed structure kayl wood 
Sides table : dico paint made with mdf
Call  (View phone number)",New,King Bed,Wooden,https://www.olx.com.pk/item/king-size-bed-whole-seller-manufacture-iid-1104232163
computer table/ workstation,5500,Description we prepare computer tables on order in one day. for more details feel free to contact on my WhatsApp no (View phone number),New,Workstations,,https://www.olx.com.pk/item/computer-table-workstation-iid-1076436566
Kitchen Cubboard,30000,Description Kitchen cubboard for sale. Multi purpose cub board,Used,Kids Wardrobes,,https://www.olx.com.pk/item/kitchen-cubboard-iid-1105316864
Dining table set /Dining chairs set /Dining table,70000,"Description Please contact on NUMBER OR WHATSAPP 
Contact for more details:
                         0303#39391#67
                              0310#00091#67
Pure shesham wood 10 years warranty. 
Polish and fabric color on your choice, 
Such as bedroom set, dining set, center table and all kinds of sofa set etc. 
You can visit our Showroom to check the quality. 
 SHOWROOM ADDRESS
Shop# R-73 Black-13D2 near Ibrar Masjid Gulshan-e-Iqbal , karachi,",,,,https://www.olx.com.pk/item/dining-table-set-dining-chairs-set-dining-table-iid-1104328583
L shaped/Sofa set/Wooden sofa/Luxury Sofa/7 seater sofa,80000,"Description اپریل 2025میں خریدا تھا۔ میری امی کو رنگ پسند نہیں ۔ بہت اچھی کوالٹی میں ہے۔ صرف سنجیدہ خریدار رابطہ کریں۔ 
 کوئی خرابی یا نقص نہیں ہے 
صوفہ کور بھی ساتھ شامل ہیں۔
price is negotiable",Used,L Shaped,,https://www.olx.com.pk/item/l-shapedsofa-setwooden-sofaluxury-sofa7-seater-sofa-iid-1103458424
Padel Tennis - Padel Courts - Grass Glooring - Indoor Ground Grass,450,"Description Musa Traders offers a huge variety in artificial grass or Astro Turf for sports feilds schools play area fake lawn's balcony homes restaurants and the material is long lasting,easy to maintain where you want feel free to querie Whatsapp or call


Musa Traders is leading name in grass supplier and installer in Pakistan no one can serve like us wholesale prices professional installation with experienced labour. We also operate online for customers to stay home and stay safe our representative will come and provide the samples. feel free to query WhatsApp or call




BEST TURKISH AND CHINA IMPORTED ARTIFICIAL GRASS ONLY AT MUSA TRADERS
WATER PROOF UV TREATED
MAINTENANCE FREE
NYLON SOFT PILE LONG LASTING MATERIAL
COMES IN DIFFERENT PILE HEIGHTS
STOCKS AVAILABLE
FEEL FREE TO CONTACT US TO GET DELIVERY AT YOUR DOORSTEP. 



Now make your muddy backyard lawn green fresh lawn by artificial grass synthetic grass. with saving water and no matinenance
waterproof UV treated best quality imported grass comes with rubber backing differnt varities available. can be applied on anykind of surface as per your needs. Musa traders pioneers of artificial grass in pakistan with lowest wholesale rates. 

Musa traders offers
Lowest price in Pakistan Guranted on Artificial Grass on minimum Quantity 2200 sqfts. Imported Grass heavy backing with drainage holes. can be applied anywhere and in any kind of surface no need of hard cemented surface. stocks available anytime. feel free to get services at your doorstep

Contact Us For More Details :

See phone number
0/3/0/0/2/1/2/9/5/4/4
0/3/1/1/2/2/9/9/2/5/4padel tennis , padel courts ,Grass Structure, grass flooring ,imported",New,,,https://www.olx.com.pk/item/padel-tennis-padel-courts-grass-glooring-indoor-ground-grass-iid-1100795543
Sofa for sale / Sofa set / 5 seater sofa set / luxury Sofa,140,"Description Buy this Premium Quality Sofa set ( two sets available )
each of price is 1.40 
Contact For More Info:  0305//4646//660
 Complete Sofa Set. 
5 Seater Sofa Set / Luxury Sofa Set
 Drawing Room sofa set
Home used - One Hand Used
Condition 10/10
Just buy and use
      Only serious buyers do contact
               Price is negotiable


No damage no repair Retired person used sofa Set Luxuries look. Dico Painted. 1 lac Each olx agents don't call us.",New,Sofa Set,,https://www.olx.com.pk/item/sofa-for-sale-sofa-set-5-seater-sofa-set-luxury-sofa-iid-1104767280
Dining chairs | Cafe Chairs | Restaurant chairs,7500,"Description Restaurant Chairs for Sale – New & Stylish – Best Price in Town

Upgrade your café, hotel, or restaurant with brand new restaurant chairs available at wholesale rates. High-quality, durable, and stylish designs perfect for all types of dining setups. 

 Brand New Condition
 Wooden, Metal & Cushion Options Available
 Comfortable & Strong Build – Made for commercial use
 Ideal for Restaurants, Cafes, Hotels, and Fast Food Setups
 Bulk Quantity Available – Special discounts for large orders
 Cash on Delivery & Delivery All Over Pakistan

 Ready Stock – Fast Delivery
 Located in Lahore – Visit our showroom or order online


 Website: mkofficedecors. com

MK Office Decors – Furniture That Defines Your Style",New,Dining Chairs,,https://www.olx.com.pk/item/dining-chairs-cafe-chairs-restaurant-chairs-iid-1104639659
Diamond Supreme Foam original E-11/4 (03141212411),12345,"Description Diamond Foam – Premium Quality, Long Lasting Comfort! 

 Location: E-11, Islamabad
 100% Original Diamond Foam
 10 Years Warranty (Company Sealed)
 All Sizes Available (Single, Double, King, Custom)
 Free Delivery in Islamabad & Rawalpindi
 Special Discount Packages for Weddings & Families

 Comfortable sleep – Strong durability – Best price 
guarantee!
Contact Number 
 (View phone number)",New,King Bed,Foam,https://www.olx.com.pk/item/diamond-supreme-foam-original-e-114-03141212411-iid-1105318088
Recliner - Electric / Manual Sofa Recliners - Sofa Set - New Recliners,68000,"Description WildStone Presents : Recliner All Series. 

All New Design Available for More Information & Design 
Contact Now. : 0 3 1 0 / 4 7 6 5 / 6 2 4 . 

 --------------------------------------------------------------

1 : Signature Series Recliner. Model : 

310: Manual  ( Azadi Sale ). 

 --------------------------------------------------------------

2 :Classic series Recliner. Model :

350 : Manual Recliner ( Azadi Sale ). 

 --------------------------------------------------------------

3 : Royale Series Recliner : Model: 

320:Manual Recliner ( Azadi Sale ). 

 --------------------------------------------------------------

1 : Cloud Seat Recliner Sofa – Premium Faux Leather Electric Recliner

812 : Basic Electric. ( Azadi Sale ). 

815 : Electric Recliner With Rocker. 
816 : Electric Recliner With AI Voice Controller. 

--------------------------------------------------------------

1 : Eva Recliner Sofa – Premium PU Leather Electric Recliner ( Azadi Sale ). 

--------------------------------------------------------------

1 : G-97 3 Seater Recliner – Premium Faux Leather Recliner. ( Azadi Sale ). 

--------------------------------------------------------------

DELIVERY AVAILABLE

--------------------------------------------------------------

All New Design Available for More Information & Design 

visit : www. wildstone. pk

Contact Now. : 0 3 1 0 / 4 7 6 5 / 6 2 4 .",New,,,https://www.olx.com.pk/item/recliner-electric-manual-sofa-recliners-sofa-set-new-recliners-iid-1104011655
